"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139"
"S306",1693.36376953125,1705.6661376953125,1487.1802978515625,1392.1544189453125,1085.6654052734375,856.2999267578125,1255.94677734375,995.8917236328125,1031.5157470703125,323.8991394042969,626.3990478515625,1322.74267578125,1496.8731689453125,1278.2916259765625,1000.11474609375,557.5977172851562,522.5780639648438,479.9620666503906,509.31915283203125,526.0155639648438,466.94744873046875,517.3916625976562,521.371337890625,500.7197570800781,470.4566345214844,533.0169067382812,443.82574462890625,470.5853271484375,559.5855102539062,483.8904724121094,529.107177734375,495.32659912109375,413.4396057128906,496.23199462890625,503.0102233886719,501.84906005859375,606.867431640625,535.918212890625,553.1806030273438,628.1165161132812,827.1358642578125,989.982421875,974.9581298828125,1123.858154296875,1211.086669921875,1453.8302001953125,2652.685546875,2226.879638671875,2593.684326171875,4428.013671875,5215.25048828125,5863.84375,5906.595703125,8034.46142578125,10278.4140625,11828.3671875,13078.923828125,12861.82421875,13793.8564453125,14694.708984375,14979.46875,15672.5166015625,16412.4765625,17591.35546875,18356.708984375,17235.439453125,17534.3984375,17684.328125,16032.982421875,14608.27734375,16972.4140625,15122.2646484375,17426.962890625,18502.837890625,17691.919921875,18609.2109375,9310.837890625,18708.5703125,20341.7265625,21264.51953125,20628.552734375,20504.3984375,14474.896484375,18495.888671875,13646.1953125,7700.4345703125,18094.294921875,12028.19140625,11978.9072265625,18133.912109375,19052.16796875,16011.3720703125,14377.4736328125,14930.0927734375,17451.69921875,12703.5576171875,15419.041015625,11351.513671875,11454.34375,4242.00390625,10604.1865234375,7224.80859375,6761.2841796875,10971.16796875,12492.59375,11028.478515625,7904.318359375,10508.25,3427.048828125,6526.4794921875,7194.9130859375,3062.836181640625,838.0049438476562,1345.474365234375,1929.700439453125,460.657470703125,1385.721435546875,2062.70947265625,1559.74609375,1002.2408447265625,1007.6858520507812,2056.9169921875,2213.234619140625,711.1006469726562,221.89193725585938,15.92129898071289,87.57849884033203,79.02207946777344,538.9475708007812,1920.2449951171875,1582.43212890625,2151.65869140625,405.5722351074219,1790.89990234375,2182.095947265625,2216.93896484375,1487.307373046875,2097.66796875,1611.5078125,1611.2528076171875
"S307",2057.67333984375,2094.21337890625,1817.878173828125,1541.9417724609375,1259.3204345703125,1097.008056640625,1413.3193359375,1184.1876220703125,1119.533935546875,964.0819702148438,784.8119506835938,1339.87109375,1496.8731689453125,1299.083984375,1085.3277587890625,741.1903076171875,715.1104125976562,649.3533935546875,686.3934326171875,674.9193725585938,586.1378173828125,665.860107421875,690.40966796875,647.0225830078125,628.8429565429688,678.8350830078125,577.0918579101562,577.6001586914062,710.5631103515625,581.840576171875,653.8839111328125,620.9829711914062,537.0935668945312,612.6691284179688,629.1405029296875,703.0367431640625,797.6836547851562,714.035888671875,746.4525756835938,860.5451049804688,1122.5589599609375,1398.87060546875,1360.7315673828125,1507.3358154296875,1612.52197265625,1991.7974853515625,3098.577392578125,3038.015380859375,3483.67626953125,6041.7470703125,6552.69189453125,7323.68017578125,8070.1201171875,10934.0849609375,12950.080078125,16049.54296875,17524.5546875,17081.45703125,18159.48046875,17190.341796875,17803.734375,19283.54296875,19361.978515625,20005.474609375,20902.03515625,19721.306640625,20532.833984375,23033.6171875,21305.814453125,20116.501953125,22896.60546875,21436.32421875,22064.998046875,23568.158203125,22990.5,25256.078125,21617.66796875,25310.421875,26852.67578125,26198.068359375,25027.48828125,25638.10546875,33149.8984375,28947.75,23886.01953125,26145.61328125,28662.681640625,25135.091796875,27307.005859375,26186.11328125,24777.509765625,24508.84765625,23026.705078125,22930.130859375,21925.203125,19539.068359375,19849.744140625,19462.451171875,19133.57421875,18748.9765625,17324.67578125,19052.638671875,19236.33984375,18154.349609375,18204.501953125,15980.34765625,14501.4697265625,14539.0634765625,13739.9326171875,14049.451171875,12202.5234375,10834.5791015625,9600.6591796875,7975.5263671875,7432.09228515625,6910.390625,6755.5107421875,6199.12890625,4978.65771484375,4864.42919921875,5021.24462890625,4759.6357421875,4158.85986328125,3542.328369140625,3739.689697265625,3059.312255859375,2160.953369140625,2048.876708984375,2468.068115234375,2827.5908203125,3384.291259765625,2979.85693359375,2015.7769775390625,2563.060791015625,2686.939697265625,2691.876953125,2308.56787109375,2493.81103515625,2126.570556640625,2064.870361328125
"S308",4028.43310546875,3667.775390625,3333.07373046875,2885.1513671875,2675.48876953125,2253.266357421875,2311.745361328125,1937.4534912109375,1854.14599609375,1670.1981201171875,1623.0545654296875,1804.0191650390625,1804.7850341796875,1849.948486328125,1834.0145263671875,1675.231689453125,1698.9017333984375,1596.1556396484375,1593.2802734375,1641.4847412109375,1577.79150390625,1602.1484375,1633.463134765625,1456.2861328125,1450.76171875,1495.487548828125,1268.8211669921875,1281.7708740234375,1334.572509765625,1192.3165283203125,1484.224853515625,1432.4200439453125,1291.81982421875,1353.59228515625,1383.7275390625,1011.9576416015625,1410.157958984375,1677.442626953125,1924.6739501953125,2066.27001953125,3135.363525390625,3454.072265625,3553.258056640625,3968.810546875,4419.43115234375,5333.76611328125,6997.71728515625,6614.6357421875,8994.9931640625,12180.3701171875,11871.7958984375,14578.568359375,14780.021484375,19226.40234375,23839.9296875,26859.037109375,28920.748046875,29969.947265625,30660.3125,30769.96484375,31686.7734375,33686.2890625,33496.87109375,36774.1015625,38409.1875,34994.49609375,35479.13671875,36412.46484375,34609.71484375,32743.224609375,36621.53125,34427.12109375,35095.52734375,37447.30078125,36659.1328125,40610.18359375,36233.26953125,41808.296875,43802.875,43791.828125,42372.32421875,41756.4609375,46369.33984375,41609.61328125,39037.9921875,41266.5859375,40403.6640625,35940.9140625,40140.296875,37804.609375,37846.875,36457.984375,32810.8515625,32203.77734375,30176.724609375,28473.001953125,31006.29296875,30557.04296875,30114.349609375,28454.259765625,27013.744140625,29769.9375,29064.193359375,27559.29296875,27020.755859375,24557.47265625,22715.703125,22485.890625,21026.125,21392.23046875,19348.46875,17148.529296875,16043.787109375,13585.56640625,13934.005859375,12488.7763671875,11704.201171875,10694.5595703125,10128.0126953125,9936.7763671875,10203.7685546875,8183.22607421875,8829.80078125,7358.546875,7773.3544921875,6985.39306640625,7400.6591796875,5989.125,8265.2236328125,8558.7978515625,7155.35791015625,7102.54248046875,6385.81494140625,7544.56982421875,7183.9169921875,6448.28759765625,5810.6005859375,6154.1513671875,5180.10546875,5758.685546875
"S309",2341.9853515625,2419.670166015625,1865.4552001953125,1570.7021484375,1899.9501953125,1672.1451416015625,1237.6058349609375,1138.0135498046875,1109.284423828125,1081.72265625,1091.68212890625,1069.34130859375,1000.8262329101562,968.4957885742188,1038.4556884765625,940.8406372070312,921.14306640625,937.3013305664062,812.6556396484375,840.7872924804688,896.8876342773438,777.9293823242188,724.7020874023438,764.6144409179688,726.1361694335938,722.9865112304688,707.125,688.8134155273438,600.5822143554688,671.2284545898438,668.2056884765625,611.7970581054688,679.24560546875,673.8501586914062,686.9146118164062,732.9151611328125,757.7242431640625,864.3863525390625,911.4899291992188,1055.4703369140625,1118.1168212890625,1327.71337890625,1390.2115478515625,1935.5595703125,2296.866943359375,2460.296875,3112.392578125,3634.567138671875,4196.62255859375,5315.97509765625,6328.71435546875,7192.31689453125,6887.09814453125,11463.9921875,11657.275390625,9103.1484375,8434.16796875,8778.853515625,9628.130859375,8990.8046875,13366.587890625,13395.21484375,11042.6787109375,9639.2958984375,8284.9189453125,7853.72265625,11999.0146484375,7549.35693359375,7357.37646484375,8283.2216796875,7931.98876953125,9045.5576171875,7971.34375,7928.28857421875,8673.0771484375,8152.45068359375,8414.412109375,8723.1083984375,8093.9443359375,7034.94384765625,8196.099609375,7649.81201171875,8911.1083984375,12465.73046875,10169.99609375,8227.5859375,6355.92626953125,6416.6611328125,6160.39794921875,6951.97509765625,6890.57080078125,6454.68359375,5964.31201171875,5577.2587890625,5934.68310546875,5523.46826171875,6059.642578125,6013.560546875,6285.4267578125,6922.63671875,6380.60986328125,6680.08935546875,6176.087890625,6960.68359375,5774.3623046875,5987.103515625,5357.806640625,6806.26513671875,8241.2353515625,13161.169921875,8353.671875,7136.24365234375,6066.666015625,6554.69189453125,7321.978515625,6885.833984375,6307.869140625,6143.4501953125,12131.7490234375,8221.6064453125,6787.48583984375,5635.52392578125,4729.412109375,4513.30126953125,4953.0810546875,5495.62451171875,6887.95556640625,7632.31640625,5537.76708984375,6112.287109375,5439.095703125,4986.533203125,4842.1796875,5267.251953125,6093.671875,7450.5654296875,5411.8681640625,4587.5419921875,4495.00732421875,4829.14453125
"S310",2341.9853515625,2419.670166015625,1865.4552001953125,1570.7021484375,1899.1351318359375,1670.861083984375,1237.6058349609375,1138.0135498046875,1109.284423828125,1081.72265625,1091.68212890625,1069.34130859375,1000.8262329101562,968.4957885742188,1038.4556884765625,940.8406372070312,921.14306640625,937.3013305664062,812.6556396484375,840.7872924804688,896.8876342773438,777.9293823242188,724.7020874023438,764.6144409179688,726.1361694335938,722.9865112304688,707.125,688.8134155273438,600.5822143554688,671.2284545898438,668.2056884765625,611.7970581054688,677.6727905273438,673.8501586914062,686.9146118164062,710.0711059570312,757.7242431640625,860.7020263671875,874.0589599609375,989.9251708984375,1056.85302734375,1116.3299560546875,1162.5679931640625,1518.9527587890625,1624.083251953125,1930.5654296875,2268.44677734375,2832.322509765625,3253.52490234375,5066.03515625,5186.544921875,6640.64501953125,6026.14794921875,5859.130859375,8043.03759765625,7098.12646484375,6333.306640625,7298.25732421875,9035.529296875,7982.94189453125,7943.61376953125,6523.80078125,6049.40234375,7331.279296875,6335.45947265625,5776.83935546875,8999.556640625,6864.75439453125,6733.7158203125,6648.16455078125,6925.7119140625,7258.42578125,7040.40673828125,7300.36181640625,7471.533203125,7077.73681640625,6868.884765625,6693.0908203125,7343.0419921875,6558.45068359375,7771.8017578125,6735.546875,8257.998046875,9607.8896484375,8425.9189453125,6647.4375,5457.671875,5337.28125,4999.65087890625,5393.98583984375,5050.55712890625,5028.4072265625,4476.423828125,4279.99267578125,5139.78173828125,4645.51513671875,5324.904296875,4549.22509765625,4796.8447265625,5243.083984375,4350.70751953125,4032.918212890625,4390.4755859375,5270.787109375,4442.62646484375,4766.1279296875,4458.88134765625,5529.67578125,6578.328125,9104.8818359375,5880.56396484375,5126.7919921875,4698.25732421875,5476.61181640625,6538.04931640625,6480.75,6084.947265625,5688.005859375,11047.46484375,8024.89697265625,6380.28857421875,5484.7373046875,4729.412109375,4513.30126953125,4953.0810546875,5495.62451171875,6600.123046875,7179.671875,5139.24853515625,5794.857421875,5386.419921875,4965.0283203125,4316.93017578125,4660.98681640625,5405.83544921875,6795.54541015625,4859.24951171875,4483.861328125,4467.04052734375,4749.47021484375
"S311",5.820766091346741E-9,2.3283064365386963E-8,7.543712854385376E-8,2.8172507882118225E-8,1.682201400399208E-8,2.852175384759903E-9,1.1408701539039612E-8,1.4901161193847656E-8,2.852175384759903E-9,2.0954757928848267E-9,3.2741809263825417E-11,0.0,2.0954757928848267E-9,1.4551915228366852E-11,4.20550350099802E-9,2.9467628337442875E-10,2.0954757928848267E-9,0.0,5.238689482212067E-10,2.852175384759903E-9,0.0,5.820766091346741E-11,3.725290298461914E-9,0.0,3.725290298461914E-9,5.820766091346741E-9,5.820766091346741E-9,5.820766091346741E-11,5.820766091346741E-9,8.381903171539307E-9,3.725290298461914E-9,2.1012965589761734E-8,8.381903171539307E-9,2.852175384759903E-9,9.837094694375992E-9,1.3096723705530167E-8,2.852175384759903E-9,7.043126970529556E-9,3.725290298461914E-9,1.3096723705530167E-10,5.238689482212067E-10,7.130438461899757E-10,5.238689482212067E-10,0.0,2.9467628337442875E-10,1.4551915228366852E-9,8.381903171539307E-9,3.3527612686157227E-8,1.341104507446289E-7,1.825392246246338E-7,8.381903171539307E-9,7.543712854385376E-8,1.341104507446289E-7,928.0404052734375,4.507601261138916E-7,3.3527612686157227E-8,9.313225746154785E-8,3.725290298461914E-9,3.0174851417541504E-7,46.00954055786133,9.313225746154785E-10,1.825392246246338E-7,3.3527612686157227E-8,3.725290298461914E-9,3.3527612686157227E-8,2.9723360538482666,2.2723844051361084,1.341104507446289E-7,1.825392246246338E-7,1.126900315284729E-7,3.3527612686157227E-8,9.313225746154785E-8,3.0174851417541504E-7,4.507601261138916E-7,1.4901161193847656E-8,1.341104507446289E-7,9.313225746154785E-8,13.629961013793945,3.0174851417541504E-7,9.313225746154785E-8,1.4901161193847656E-8,5.9604644775390625E-8,1.825392246246338E-7,4.440870761871338,1.825392246246338E-7,2.384185791015625E-7,4.563480615615845E-8,3.725290298461914E-7,5.9604644775390625E-8,7.543712854385376E-8,11.989633560180664,2.384185791015625E-7,0.027039386332035065,3.0174851417541504E-7,45.643463134765625,9.313225746154785E-8,2.3283064365386963E-8,4.507601261138916E-7,1.3405232429504395,5.9604644775390625E-8,3.725290298461914E-9,4.563480615615845E-8,1.126900315284729E-7,8.381903171539307E-9,0.0,1.341104507446289E-7,1.126900315284729E-7,9.313225746154785E-8,9.313225746154785E-8,1.825392246246338E-7,1.341104507446289E-7,3.3527612686157227E-8,1.825392246246338E-7,1.5739351511001587E-7,4.507601261138916E-7,2.384185791015625E-7,1.341104507446289E-7,2.384185791015625E-7,1.825392246246338E-7,0.0,7.301568984985352E-7,0.0,2.3283064365386963E-8,1.126900315284729E-7,2.384185791015625E-7,9.5367431640625E-7,3.3527612686157227E-8,7.543712854385376E-8,3.3527612686157227E-8,1.4901161193847656E-8,1.341104507446289E-7,5.364418029785156E-7,2.384185791015625E-7,2.3283064365386963E-8,1.341104507446289E-7,3.3527612686157227E-8,4.563480615615845E-8,1.4901161193847656E-8,4.563480615615845E-8,1.341104507446289E-7
"S312",0.0,3.637978807091713E-10,0.013472650200128555,2.852175384759903E-9,9.550188064575195,80.6186752319336,2.1012965589761734E-8,2.3283064365386963E-10,1.4901161193847656E-8,0.0,3.934837877750397E-8,0.0,7.043126970529556E-9,9.837094694375992E-9,1.1408701539039612E-8,4.563480615615845E-8,5.820766091346741E-9,0.0,0.0065350765362381935,0.04393521696329117,1.927367091178894,3.1129977703094482,2.3283064365386963E-10,0.16373218595981598,3.9655444622039795,0.027351778000593185,2.491014003753662,1.2429646253585815,4.563480615615845E-8,2.3229150772094727,2.083116054534912,8.09548568725586,13.899901390075684,6.257087230682373,27.81609344482422,75.79901123046875,10.25870132446289,39.364376068115234,110.79936218261719,92.37545776367188,6.284295558929443,192.16864013671875,409.6899719238281,285.69647216796875,241.9668426513672,1.5710502862930298,3.3527612686157227E-8,2.0954757928848267E-9,675.6158447265625,1314.55908203125,556.1420288085938,3541.007080078125,1962.5328369140625,4181.10009765625,3244.5517578125,2129.91943359375,2942.343505859375,3710.107177734375,4282.98876953125,5194.3681640625,6443.986328125,4928.5654296875,3017.77490234375,3085.593994140625,2712.322265625,1484.48046875,3.0174851417541504E-7,53.282691955566406,593.5740356445312,3700.418701171875,3106.52099609375,4162.21484375,1148.0443115234375,138.62759399414062,1729.48291015625,102.52751922607422,1217.3858642578125,364.1382141113281,992.9601440429688,1504.0670166015625,92.69438171386719,476.75323486328125,363.841796875,4395.60107421875,2056.736328125,4376.79638671875,2831.08056640625,2692.29443359375,2742.919677734375,1814.7535400390625,3513.607421875,2801.35302734375,1768.6898193359375,2923.831298828125,3724.621826171875,1826.5604248046875,3168.72216796875,3.005678176879883,1844.8626708984375,1195.2607421875,901.0105590820312,727.633056640625,1349.524169921875,259.2435607910156,186.24632263183594,51.058372497558594,100.28033447265625,284.8662414550781,162.55499267578125,4880.18310546875,590.4714965820312,194.3343963623047,1090.829345703125,155.36148071289062,0.24197353422641754,11.089256286621094,1.073001503944397,38.357933044433594,98.79817199707031,56.78913497924805,1.4901161193847656E-8,18.965391159057617,18.1279239654541,7.78861141204834,29.371309280395508,1.4901161193847656E-8,6.261687667574733E-5,1.341104507446289E-7,9.313225746154785E-10,1.5739351511001587E-7,48.6896858215332,518.4275512695312,1490.99609375,63.108741760253906,15.243188858032227,1.126900315284729E-7,0.4579143226146698,35.26984786987305,24.064453125,5.871913433074951
"S313",1022.6978149414062,1404.807373046875,542.0040893554688,359.1167907714844,1132.153564453125,904.4447631835938,402.75811767578125,43.227500915527344,61.948795318603516,427.2950439453125,345.6770324707031,412.87335205078125,174.24761962890625,421.1035461425781,270.6829833984375,464.9420166015625,402.4995422363281,445.14996337890625,354.7239074707031,378.68499755859375,354.23223876953125,318.801025390625,208.7417449951172,266.8088684082031,348.81207275390625,392.09539794921875,311.2801208496094,311.8205261230469,280.1947326660156,327.1881103515625,321.3490295410156,306.1521301269531,242.76492309570312,286.26226806640625,334.7491149902344,428.17559814453125,489.8988342285156,421.7422790527344,396.3681640625,488.2071533203125,366.58612060546875,592.3325805664062,720.2801513671875,1275.9151611328125,580.532470703125,946.4044799804688,92.37928009033203,214.38894653320312,2290.254150390625,2555.74072265625,2583.559814453125,3524.255615234375,3843.5087890625,8200.08203125,8151.5517578125,6752.4873046875,6752.548828125,6145.26171875,5546.11181640625,5396.49755859375,7157.54541015625,7407.92919921875,4607.22509765625,5958.6826171875,4322.50439453125,4175.08544921875,1146.17431640625,2169.463134765625,2334.343505859375,3654.94189453125,3207.7255859375,969.7965698242188,3312.650390625,3180.765869140625,3744.1416015625,1415.2689208984375,4340.38134765625,3106.11376953125,4204.328125,3242.0576171875,4662.87646484375,4452.8125,4785.6748046875,5753.337890625,5539.1767578125,5955.75390625,4413.35595703125,3639.201171875,3995.741943359375,4616.45849609375,5589.18798828125,5051.841796875,5348.064453125,4929.845703125,5032.958984375,4332.95166015625,4379.6826171875,5385.14208984375,5131.50439453125,4388.25146484375,4765.240234375,4593.892578125,4962.56591796875,4292.99560546875,3163.652099609375,2256.6044921875,3427.545654296875,4116.49365234375,3376.4248046875,7722.7138671875,4979.62646484375,7046.94189453125,6030.7119140625,3633.261474609375,5012.64501953125,5794.19873046875,4401.77490234375,4779.11669921875,5596.70361328125,3527.6494140625,4191.1474609375,3129.27001953125,2293.632568359375,2683.196533203125,2883.7822265625,3642.3046875,2839.241455078125,4852.74853515625,3774.432861328125,4823.392578125,5336.091796875,3656.4326171875,4859.69677734375,2898.53466796875,2623.58056640625,3180.105712890625,3091.397705078125,3309.994140625,3749.365234375,3744.844482421875
"S314",1303.7041015625,1544.2440185546875,1132.5302734375,931.5658569335938,1132.153564453125,904.4447631835938,604.4060668945312,4.169424057006836,101.26811218261719,453.8559875488281,490.2286071777344,472.4800720214844,447.9786376953125,438.1158142089844,429.6069641113281,498.12091064453125,441.0972900390625,466.76629638671875,405.7236633300781,394.6186828613281,421.4090881347656,361.0680847167969,335.28515625,355.4599304199219,369.6513366699219,408.67633056640625,350.39129638671875,359.712890625,320.2892761230469,347.6050109863281,343.7696533203125,326.8037414550781,326.4288635253906,313.0675964355469,367.6908264160156,509.2569580078125,492.17742919921875,449.1134033203125,404.6827087402344,517.9900512695312,277.3897705078125,592.3325805664062,720.2801513671875,1403.0550537109375,183.00506591796875,965.587158203125,1389.481689453125,1628.80322265625,2394.845947265625,2823.36279296875,2891.434326171875,4230.23828125,4558.23291015625,8200.271484375,8247.537109375,6821.17041015625,7367.3681640625,7009.04052734375,6345.06982421875,6693.19677734375,6636.775390625,6827.59521484375,3104.804931640625,6517.31201171875,4768.220703125,5294.3955078125,3283.187744140625,4172.6201171875,4286.60009765625,4806.33984375,3143.897705078125,4009.147705078125,4415.03125,3295.332275390625,4445.123046875,4179.13916015625,4236.919921875,5260.798828125,4084.719970703125,3864.61474609375,5185.43115234375,5788.40576171875,5889.72802734375,6811.01611328125,6626.24560546875,7287.36328125,5715.78857421875,4599.41455078125,4936.18359375,4802.259765625,5449.13623046875,5216.158203125,5682.4443359375,5370.2255859375,5990.0625,4910.73486328125,5537.34619140625,5828.59765625,5526.38818359375,4428.5498046875,4765.240234375,4593.892578125,4962.56591796875,4344.8154296875,3133.79541015625,3785.731201171875,3433.54443359375,4204.623046875,4519.111328125,7722.7138671875,5514.81689453125,7375.197265625,6538.5576171875,5374.0517578125,5637.86865234375,5896.25,4716.93115234375,5052.71142578125,5636.3701171875,3937.531494140625,4309.578125,3229.132080078125,2595.163818359375,2719.15625,3282.328125,3675.0498046875,4446.59228515625,4868.66015625,4125.453125,5039.56298828125,5336.091796875,3738.292724609375,4917.642578125,2898.53466796875,2821.370361328125,3180.105712890625,3120.98095703125,3361.927734375,3749.365234375,3776.5087890625
"S315",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
