"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140"
"S0",415.37035369873047,417.1423110961914,418.82447052001953,420.42923736572266,421.9331817626953,423.35939025878906,424.6250991821289,425.8366394042969,426.850830078125,427.76820373535156,428.5907669067383,429.32003021240234,429.96314239501953,430.51190185546875,430.87901306152344,431.1783447265625,431.4102020263672,431.5577163696289,431.6528625488281,431.646240234375,431.66088104248047,431.5908966064453,431.4917526245117,431.3201599121094,431.1357879638672,430.8380889892578,430.5106201171875,430.1050033569336,429.61529541015625,429.03340911865234,428.31827545166016,427.51424407958984,426.5987014770508,425.5606994628906,424.3705520629883,423.0554885864258,421.5707778930664,419.95570373535156,418.2101058959961,416.3252182006836,414.2420425415039,412.0458984375,409.73072052001953,407.29320526123047,404.67069244384766,401.9422607421875,399.1673355102539,396.26578521728516,393.39918518066406,390.36510467529297,387.2409362792969,384.0615921020508,380.7275695800781,377.30345916748047,373.8503875732422,370.3307189941406,366.5769805908203,362.6262969970703,358.4709930419922,354.3755645751953,350.3827667236328,346.04112243652344,341.5152893066406,336.74652099609375,331.94334411621094,326.8850402832031,321.6833038330078,316.31463623046875,310.81675720214844,305.3050079345703,299.6166534423828,293.92327880859375,288.2560272216797,282.7727813720703,277.4013366699219,272.0072479248047,266.64666748046875,261.4626007080078,256.5090637207031,251.69406127929688,247.08193969726562,242.63400268554688,238.28875732421875,234.2388916015625,230.60116577148438,227.15676879882812,223.84832763671875,220.835693359375,218.01181030273438,215.56796264648438,213.31820678710938,211.48291015625,210.00177001953125,208.80572509765625,208.00045776367188,207.55682373046875,207.67965698242188,208.0457763671875,209.05450439453125,210.51919555664062,212.33157348632812,214.45095825195312,217.093994140625,220.12576293945312,223.586181640625,227.26535034179688,231.08383178710938,235.16412353515625,239.37503051757812,243.93936157226562,248.76251220703125,253.6695098876953,258.7213439941406,263.95155334472656,269.12152099609375,274.6426239013672,280.1876220703125,285.77716064453125,291.46421813964844,297.31825256347656,303.23997497558594,309.2218780517578,315.32366943359375,321.2609100341797,327.05140686035156,333.0146026611328,338.8780975341797,344.45989990234375,349.90623474121094,355.2737731933594,360.2210388183594,365.1594696044922,369.8533935546875,374.29447174072266,378.5141372680664,382.5545654296875,386.40625,390.00514221191406,393.33631134033203,396.462890625,399.46524810791016
"S1",437.0639305114746,438.3819694519043,439.63956451416016,440.8363151550293,441.9545211791992,443.01915740966797,443.9631767272949,444.8640556335449,445.62110137939453,446.30424880981445,446.91862869262695,447.4621467590332,447.9443359375,448.35498428344727,448.6279067993164,448.85291290283203,449.0272636413574,449.13797760009766,449.2103958129883,449.2101135253906,449.2212142944336,449.1697883605957,449.09752655029297,448.9736137390137,448.83789443969727,448.61814880371094,448.3738594055176,448.0749206542969,447.7110366821289,447.2801742553711,446.749698638916,446.15314865112305,445.4755210876465,444.7065849304199,443.82343673706055,442.8474006652832,441.7461471557617,440.5463981628418,439.25024795532227,437.8510971069336,436.3054008483887,434.67604064941406,432.9602279663086,431.14959716796875,429.20638275146484,427.1856384277344,425.1269073486328,422.9770278930664,420.8518524169922,418.6046371459961,416.28834533691406,413.9328079223633,411.4672622680664,408.9284362792969,406.37298583984375,403.7654724121094,400.9858856201172,398.0612487792969,394.9821319580078,391.95121002197266,388.99388885498047,385.7803726196289,382.42955780029297,378.8997573852539,375.3373565673828,371.59584045410156,367.74224853515625,363.77134704589844,359.69322204589844,355.61546325683594,351.40687561035156,347.18666076660156,342.99131774902344,338.92938232421875,334.9580383300781,330.96400451660156,326.99798583984375,323.166015625,319.5007629394531,315.9416961669922,312.5255889892578,309.2431335449219,306.04412841796875,303.041259765625,300.35813903808594,297.8158721923828,295.3688049316406,293.1533966064453,291.0802307128906,289.2829132080078,287.6280059814453,286.275390625,285.18687438964844,284.316162109375,283.73500061035156,283.4235076904297,283.5181427001953,283.80413818359375,284.5678253173828,285.6697235107422,287.0221710205078,288.59739685058594,290.571044921875,292.8219451904297,295.3953552246094,298.1271209716797,300.97161865234375,304.00306701660156,307.12843322753906,310.51576232910156,314.0985412597656,317.7392272949219,321.4911651611328,325.3656463623047,329.20166015625,333.2970275878906,337.40525817871094,341.5496368408203,345.76454162597656,350.0987854003906,354.4854736328125,358.9240417480469,363.4415740966797,367.83995056152344,372.12300872802734,376.53870391845703,380.87975311279297,385.01036071777344,389.0416488647461,393.00868225097656,396.67649841308594,400.3273391723633,403.80274963378906,407.08929443359375,410.2102508544922,413.1949691772461,416.0425567626953,418.7055130004883,421.171142578125,423.483642578125,425.7052307128906
"S2",437.0639305114746,438.3819694519043,439.63956451416016,440.8363151550293,441.9545211791992,443.01915740966797,443.9631767272949,444.8640556335449,445.62110137939453,446.30424880981445,446.91862869262695,447.4621467590332,447.9443359375,448.35498428344727,448.6279067993164,448.85291290283203,449.0272636413574,449.13797760009766,449.2103958129883,449.2101135253906,449.2212142944336,449.1697883605957,449.09752655029297,448.9736137390137,448.83789443969727,448.61814880371094,448.3738594055176,448.0749206542969,447.7110366821289,447.2801742553711,446.749698638916,446.15314865112305,445.4755210876465,444.7065849304199,443.82343673706055,442.8474006652832,441.7461471557617,440.5463981628418,439.25024795532227,437.8510971069336,436.3054008483887,434.67604064941406,432.9602279663086,431.14959716796875,429.20638275146484,427.1856384277344,425.1269073486328,422.9770278930664,420.8518524169922,418.6046371459961,416.28834533691406,413.9328079223633,411.4672622680664,408.9284362792969,406.37298583984375,403.7654724121094,400.9858856201172,398.0612487792969,394.9821319580078,391.95121002197266,388.99388885498047,385.7803726196289,382.42955780029297,378.8997573852539,375.3373565673828,371.59584045410156,367.74224853515625,363.77134704589844,359.69322204589844,355.61546325683594,351.40687561035156,347.18666076660156,342.99131774902344,338.92938232421875,334.9580383300781,330.96400451660156,326.99798583984375,323.166015625,319.5007629394531,315.9416961669922,312.5255889892578,309.2431335449219,306.04412841796875,303.041259765625,300.35813903808594,297.8158721923828,295.3688049316406,293.1533966064453,291.0802307128906,289.2829132080078,287.6280059814453,286.275390625,285.18687438964844,284.316162109375,283.73500061035156,283.4235076904297,283.5181427001953,283.80413818359375,284.5678253173828,285.6697235107422,287.0221710205078,288.59739685058594,290.571044921875,292.8219451904297,295.3953552246094,298.1271209716797,300.97161865234375,304.00306701660156,307.12843322753906,310.51576232910156,314.0985412597656,317.7392272949219,321.4911651611328,325.3656463623047,329.20166015625,333.2970275878906,337.40525817871094,341.5496368408203,345.76454162597656,350.0987854003906,354.4854736328125,358.9240417480469,363.4415740966797,367.83995056152344,372.12300872802734,376.53870391845703,380.87975311279297,385.01036071777344,389.0416488647461,393.00868225097656,396.67649841308594,400.3273391723633,403.80274963378906,407.08929443359375,410.2102508544922,413.1949691772461,416.0425567626953,418.7055130004883,421.171142578125,423.483642578125,425.7052307128906
"S3",437.0639305114746,438.3819694519043,439.63956451416016,440.8363151550293,441.9545211791992,443.01915740966797,443.9631767272949,444.8640556335449,445.62110137939453,446.30424880981445,446.91862869262695,447.4621467590332,447.9443359375,448.35498428344727,448.6279067993164,448.85291290283203,449.0272636413574,449.13797760009766,449.2103958129883,449.2101135253906,449.2212142944336,449.1697883605957,449.09752655029297,448.9736137390137,448.83789443969727,448.61814880371094,448.3738594055176,448.0749206542969,447.7110366821289,447.2801742553711,446.749698638916,446.15314865112305,445.4755210876465,444.7065849304199,443.82343673706055,442.8474006652832,441.7461471557617,440.5463981628418,439.25024795532227,437.8510971069336,436.3054008483887,434.67604064941406,432.9602279663086,431.14959716796875,429.20638275146484,427.1856384277344,425.1269073486328,422.9770278930664,420.8518524169922,418.6046371459961,416.28834533691406,413.9328079223633,411.4672622680664,408.9284362792969,406.37298583984375,403.7654724121094,400.9858856201172,398.0612487792969,394.9821319580078,391.95121002197266,388.99388885498047,385.7803726196289,382.42955780029297,378.8997573852539,375.3373565673828,371.59584045410156,367.74224853515625,363.77134704589844,359.69322204589844,355.61546325683594,351.40687561035156,347.18666076660156,342.99131774902344,338.92938232421875,334.9580383300781,330.96400451660156,326.99798583984375,323.166015625,319.5007629394531,315.9416961669922,312.5255889892578,309.2431335449219,306.04412841796875,303.041259765625,300.35813903808594,297.8158721923828,295.3688049316406,293.1533966064453,291.0802307128906,289.2829132080078,287.6280059814453,286.275390625,285.18687438964844,284.316162109375,283.73500061035156,283.4235076904297,283.5181427001953,283.80413818359375,284.5678253173828,285.6697235107422,287.0221710205078,288.59739685058594,290.571044921875,292.8219451904297,295.3953552246094,298.1271209716797,300.97161865234375,304.00306701660156,307.12843322753906,310.51576232910156,314.0985412597656,317.7392272949219,321.4911651611328,325.3656463623047,329.20166015625,333.2970275878906,337.40525817871094,341.5496368408203,345.76454162597656,350.0987854003906,354.4854736328125,358.9240417480469,363.4415740966797,367.83995056152344,372.12300872802734,376.53870391845703,380.87975311279297,385.01036071777344,389.0416488647461,393.00868225097656,396.67649841308594,400.3273391723633,403.80274963378906,407.08929443359375,410.2102508544922,413.1949691772461,416.0425567626953,418.7055130004883,421.171142578125,423.483642578125,425.7052307128906
"S4",389.9479675292969,392.2367630004883,394.44126892089844,396.5341339111328,398.46580505371094,400.32881927490234,401.9674606323242,403.5254898071289,404.84141540527344,406.01893615722656,407.0901870727539,408.02664947509766,408.87042236328125,409.5835876464844,410.0414352416992,410.42335510253906,410.7204895019531,410.90057373046875,411.0139923095703,411.0224304199219,411.02555084228516,410.9250793457031,410.7932434082031,410.5746078491211,410.3224105834961,409.93463134765625,409.4895935058594,408.96590423583984,408.31554412841797,407.5548782348633,406.62239837646484,405.5685272216797,404.3777847290039,403.0322036743164,401.48313903808594,399.7605438232422,397.8286895751953,395.71753692626953,393.4271697998047,390.9711608886719,388.2642593383789,385.39845275878906,382.3935546875,379.20230865478516,375.79603576660156,372.26436614990234,368.64051818847656,364.8535461425781,361.1107482910156,357.1663360595703,353.07928466796875,348.9325256347656,344.6192169189453,340.130859375,335.64234924316406,331.0491638183594,326.1512145996094,320.9945983886719,315.56695556640625,310.2364044189453,305.048828125,299.39427185058594,293.47705078125,287.27410888671875,280.9598846435547,274.37841796875,267.5729064941406,260.58807373046875,253.3502960205078,246.16639709472656,238.734619140625,231.25820922851562,223.84939575195312,216.66665649414062,209.668212890625,202.59603881835938,195.5994873046875,188.82437133789062,182.3428955078125,176.03717041015625,169.96316528320312,164.16461181640625,158.552490234375,153.17831420898438,148.41830444335938,143.92385864257812,139.5328369140625,135.62448120117188,131.96536254882812,128.78036499023438,125.81072998046875,123.35427856445312,121.35629272460938,119.78717041015625,118.73184204101562,118.169921875,118.23040771484375,118.71685791015625,120.01959228515625,121.937255859375,124.26950073242188,127.01480102539062,130.47775268554688,134.371337890625,138.88018798828125,143.64791870117188,148.65213012695312,153.9591064453125,159.44821166992188,165.37179565429688,171.67218017578125,178.0762939453125,184.68789672851562,191.48654174804688,198.2513427734375,205.453125,212.67523193359375,219.99063110351562,227.41360473632812,235.02474975585938,242.77261352539062,250.6250457763672,258.5723114013672,266.34217834472656,273.8777770996094,281.6754150390625,289.3297424316406,296.61976623535156,303.73492431640625,310.71917724609375,317.23692321777344,323.6641082763672,329.8044891357422,335.6123504638672,341.12242126464844,346.3905487060547,351.42437744140625,356.1103973388672,360.46583557128906,364.54273986816406,368.4766845703125
"S5",378.15614318847656,380.6795654296875,383.13478088378906,385.4575500488281,387.57928466796875,389.6494369506836,391.459716796875,393.17249298095703,394.62855529785156,395.921875,397.1101531982422,398.1391830444336,399.0801696777344,399.8704833984375,400.3636932373047,400.7824249267578,401.10914611816406,401.30081939697266,401.4199447631836,401.44298553466797,401.4354705810547,401.3179626464844,401.17053985595703,400.93309020996094,400.6457748413086,400.2166519165039,399.71036529541016,399.13431549072266,398.40496826171875,397.5608139038086,396.52723693847656,395.35523986816406,394.03809356689453,392.55252838134766,390.83729553222656,388.9222412109375,386.78382110595703,384.4394073486328,381.89024353027344,379.16876220703125,376.17469024658203,372.99645233154297,369.6759948730469,366.12876892089844,362.3631591796875,358.46791076660156,354.4471435546875,350.2480010986328,346.0963439941406,341.73382568359375,337.19476318359375,332.59873962402344,327.84449768066406,322.853515625,317.89051818847656,312.7980194091797,307.3685607910156,301.6516418457031,295.63031005859375,289.7312927246094,283.99615478515625,277.7360534667969,271.16868591308594,264.3068389892578,257.2724151611328,249.9915771484375,242.43435668945312,234.70770263671875,226.63717651367188,218.68087768554688,210.43746948242188,202.11502075195312,193.89315795898438,185.91094970703125,178.16287231445312,170.300048828125,162.54446411132812,155.029296875,147.83331298828125,140.82989501953125,134.05764770507812,127.6380615234375,121.46478271484375,115.44357299804688,110.1619873046875,105.18319702148438,100.26544189453125,95.9552001953125,91.92428588867188,88.40145874023438,85.09030151367188,82.32699584960938,80.07025146484375,78.33120727539062,77.16455078125,76.56063842773438,76.55999755859375,77.11141967773438,78.55288696289062,80.690185546875,83.25717163085938,86.28900146484375,90.14447021484375,94.4193115234375,99.41781616210938,104.68301391601562,110.25244140625,116.12747192382812,122.21170043945312,128.7586669921875,135.75216674804688,142.85528564453125,150.202392578125,157.72152709960938,165.2366943359375,173.220947265625,181.218505859375,189.34527587890625,197.57687377929688,205.9945068359375,214.59844970703125,223.33932495117188,232.1385498046875,240.76834106445312,249.10552978515625,257.7608184814453,266.24786376953125,274.3323669433594,282.224853515625,289.95033264160156,297.22059631347656,304.3310241699219,311.1483612060547,317.5946502685547,323.703857421875,329.53790283203125,335.1217346191406,340.3083038330078,345.14202880859375,349.658203125,354.02978515625
"S6",378.15614318847656,380.6795654296875,383.13478088378906,385.4575500488281,387.57928466796875,389.6494369506836,391.459716796875,393.17249298095703,394.62855529785156,395.921875,397.1101531982422,398.1391830444336,399.0801696777344,399.8704833984375,400.3636932373047,400.7824249267578,401.10914611816406,401.30081939697266,401.4199447631836,401.44298553466797,401.4354705810547,401.3179626464844,401.17053985595703,400.93309020996094,400.6457748413086,400.2166519165039,399.71036529541016,399.13431549072266,398.40496826171875,397.5608139038086,396.52723693847656,395.35523986816406,394.03809356689453,392.55252838134766,390.83729553222656,388.9222412109375,386.78382110595703,384.4394073486328,381.89024353027344,379.16876220703125,376.17469024658203,372.99645233154297,369.6759948730469,366.12876892089844,362.3631591796875,358.46791076660156,354.4471435546875,350.2480010986328,346.0963439941406,341.73382568359375,337.19476318359375,332.59873962402344,327.84449768066406,322.853515625,317.89051818847656,312.7980194091797,307.3685607910156,301.6516418457031,295.63031005859375,289.7312927246094,283.99615478515625,277.7360534667969,271.16868591308594,264.3068389892578,257.2724151611328,249.9915771484375,242.43435668945312,234.70770263671875,226.63717651367188,218.68087768554688,210.43746948242188,202.11502075195312,193.89315795898438,185.91094970703125,178.16287231445312,170.300048828125,162.54446411132812,155.029296875,147.83331298828125,140.82989501953125,134.05764770507812,127.6380615234375,121.46478271484375,115.44357299804688,110.1619873046875,105.18319702148438,100.26544189453125,95.9552001953125,91.92428588867188,88.40145874023438,85.09030151367188,82.32699584960938,80.07025146484375,78.33120727539062,77.16455078125,76.56063842773438,76.55999755859375,77.11141967773438,78.55288696289062,80.690185546875,83.25717163085938,86.28900146484375,90.14447021484375,94.4193115234375,99.41781616210938,104.68301391601562,110.25244140625,116.12747192382812,122.21170043945312,128.7586669921875,135.75216674804688,142.85528564453125,150.202392578125,157.72152709960938,165.2366943359375,173.220947265625,181.218505859375,189.34527587890625,197.57687377929688,205.9945068359375,214.59844970703125,223.33932495117188,232.1385498046875,240.76834106445312,249.10552978515625,257.7608184814453,266.24786376953125,274.3323669433594,282.224853515625,289.95033264160156,297.22059631347656,304.3310241699219,311.1483612060547,317.5946502685547,323.703857421875,329.53790283203125,335.1217346191406,340.3083038330078,345.14202880859375,349.658203125,354.02978515625
"S7",378.15614318847656,380.6795654296875,383.13478088378906,385.4575500488281,387.57928466796875,389.6494369506836,391.459716796875,393.17249298095703,394.62855529785156,395.921875,397.1101531982422,398.1391830444336,399.0801696777344,399.8704833984375,400.3636932373047,400.7824249267578,401.10914611816406,401.30081939697266,401.4199447631836,401.44298553466797,401.4354705810547,401.3179626464844,401.17053985595703,400.93309020996094,400.6457748413086,400.2166519165039,399.71036529541016,399.13431549072266,398.40496826171875,397.5608139038086,396.52723693847656,395.35523986816406,394.03809356689453,392.55252838134766,390.83729553222656,388.9222412109375,386.78382110595703,384.4394073486328,381.89024353027344,379.16876220703125,376.17469024658203,372.99645233154297,369.6759948730469,366.12876892089844,362.3631591796875,358.46791076660156,354.4471435546875,350.2480010986328,346.0963439941406,341.73382568359375,337.19476318359375,332.59873962402344,327.84449768066406,322.853515625,317.89051818847656,312.7980194091797,307.3685607910156,301.6516418457031,295.63031005859375,289.7312927246094,283.99615478515625,277.7360534667969,271.16868591308594,264.3068389892578,257.2724151611328,249.9915771484375,242.43435668945312,234.70770263671875,226.63717651367188,218.68087768554688,210.43746948242188,202.11502075195312,193.89315795898438,185.91094970703125,178.16287231445312,170.300048828125,162.54446411132812,155.029296875,147.83331298828125,140.82989501953125,134.05764770507812,127.6380615234375,121.46478271484375,115.44357299804688,110.1619873046875,105.18319702148438,100.26544189453125,95.9552001953125,91.92428588867188,88.40145874023438,85.09030151367188,82.32699584960938,80.07025146484375,78.33120727539062,77.16455078125,76.56063842773438,76.55999755859375,77.11141967773438,78.55288696289062,80.690185546875,83.25717163085938,86.28900146484375,90.14447021484375,94.4193115234375,99.41781616210938,104.68301391601562,110.25244140625,116.12747192382812,122.21170043945312,128.7586669921875,135.75216674804688,142.85528564453125,150.202392578125,157.72152709960938,165.2366943359375,173.220947265625,181.218505859375,189.34527587890625,197.57687377929688,205.9945068359375,214.59844970703125,223.33932495117188,232.1385498046875,240.76834106445312,249.10552978515625,257.7608184814453,266.24786376953125,274.3323669433594,282.224853515625,289.95033264160156,297.22059631347656,304.3310241699219,311.1483612060547,317.5946502685547,323.703857421875,329.53790283203125,335.1217346191406,340.3083038330078,345.14202880859375,349.658203125,354.02978515625
"S8",373.2090606689453,375.8443298339844,378.38021087646484,380.7892761230469,383.01263427734375,385.1565246582031,387.0414581298828,388.83492279052734,390.34840393066406,391.7028274536133,392.93499755859375,394.0118103027344,394.9813690185547,395.8008575439453,396.3265609741211,396.763916015625,397.10425567626953,397.30985260009766,397.438232421875,397.4456329345703,397.4476089477539,397.3305358886719,397.17713165283203,396.9225616455078,396.6297149658203,396.18152618408203,395.6677474975586,395.06253814697266,394.31177520751953,393.4335250854492,392.3578796386719,391.1418228149414,389.7672653198242,388.21495819091797,386.4285583496094,384.44122314453125,382.2130889892578,379.7787322998047,377.13648986816406,374.30438232421875,371.1830749511719,367.8772888183594,364.4109649658203,360.73072814941406,356.80084228515625,352.72666931152344,348.5462341308594,344.1754150390625,339.85646057128906,335.3046875,330.5879211425781,325.80201721191406,320.82330322265625,315.6427307128906,310.4613952636719,305.159912109375,299.5055389404297,293.55186462402344,287.2873992919922,281.1334991455078,275.1475372314453,268.61962890625,261.7870788574219,254.6268768310547,247.33795166015625,239.73849487304688,231.88192749023438,223.81658935546875,215.46112060546875,207.16561889648438,198.58224487304688,189.95059204101562,181.39553833007812,173.10247802734375,165.0191650390625,156.85174560546875,148.77178955078125,140.94363403320312,133.45742797851562,126.17044067382812,119.15420532226562,112.4512939453125,105.96234130859375,99.7535400390625,94.24838256835938,89.052978515625,83.97491455078125,79.45233154296875,75.21566772460938,71.5289306640625,68.08834838867188,65.24160766601562,62.92236328125,61.097747802734375,59.866546630859375,59.20538330078125,59.263275146484375,59.81317138671875,61.30181884765625,63.50164794921875,66.1824951171875,69.34524536132812,73.33053588867188,77.81454467773438,83.01019287109375,88.5050048828125,94.26992797851562,100.386474609375,106.7169189453125,113.54598999023438,120.81048583984375,128.19793701171875,135.82284545898438,143.66781616210938,151.4725341796875,159.7801513671875,168.114501953125,176.55715942382812,185.12353515625,193.90802001953125,202.85281372070312,211.91452026367188,221.08840942382812,230.05877685546875,238.76004028320312,247.7632598876953,256.60064697265625,265.01918029785156,273.2352600097656,281.3026123046875,288.8289031982422,296.2520294189453,303.3423614501953,310.04998779296875,316.41429138183594,322.50157165527344,328.3173522949219,333.72760009765625,338.7572937011719,343.4656982421875,348.0100402832031
"S9",285.73809814453125,290.1808319091797,294.44224548339844,298.4996337890625,302.24395751953125,305.85118103027344,309.0180969238281,312.03912353515625,314.5804901123047,316.85546875,318.9249267578125,320.73150634765625,322.3541717529297,323.7256622314453,324.6029968261719,325.3254089355469,325.8880615234375,326.2233123779297,326.4255828857422,326.4243469238281,326.4171600341797,326.21051025390625,325.9420471191406,325.4955291748047,324.9861297607422,324.2199249267578,323.3441619873047,322.30975341796875,321.031494140625,319.535400390625,317.7092742919922,315.64222717285156,313.3026885986328,310.66661071777344,307.6370849609375,304.2613830566406,300.48060607910156,296.3535614013672,291.8661651611328,287.0640563964844,281.77272033691406,276.16070556640625,270.276123046875,264.0334930419922,257.3586120605469,250.44076538085938,243.342041015625,235.90704345703125,228.56558227539062,220.8272705078125,212.80572509765625,204.66525268554688,196.19366455078125,187.37893676757812,178.55987548828125,169.54006958007812,159.9134521484375,149.77215576171875,139.11459350585938,128.636474609375,118.46182250976562,107.34664916992188,95.70474243164062,83.51834106445312,71.11099243164062,58.16253662109375,44.785064697265625,31.0419921875,16.8154296875,2.67803955078125,-11.959381103515625,-26.66033935546875,-41.2401123046875,-55.3671875,-69.1551513671875,-83.08154296875,-96.85687255859375,-110.22589111328125,-122.99658203125,-135.44940185546875,-147.4232177734375,-158.89013671875,-170.0003662109375,-180.603515625,-190.03900146484375,-198.92724609375,-207.6312255859375,-215.39801025390625,-222.68902587890625,-229.02777099609375,-234.9627685546875,-239.87921142578125,-243.9095458984375,-247.098876953125,-249.27667236328125,-250.4810791015625,-250.46112060546875,-249.5972900390625,-247.15789794921875,-243.49896240234375,-239.0084228515625,-233.6663818359375,-226.95892333984375,-219.39251708984375,-210.60833740234375,-201.3114013671875,-191.57208251953125,-181.2210693359375,-170.484619140625,-158.9161376953125,-146.6029052734375,-134.06207275390625,-121.1265869140625,-107.7940673828125,-94.535400390625,-80.42950439453125,-66.25958251953125,-51.90087890625,-37.33441162109375,-22.391845703125,-7.15948486328125,8.24920654296875,23.86322021484375,39.138946533203125,53.966033935546875,69.30413818359375,84.35617065429688,98.70693969726562,112.7088623046875,126.47158813476562,139.29953002929688,151.95916748046875,164.04196166992188,175.48025512695312,186.33731079101562,196.73629760742188,206.66635131835938,215.88192749023438,224.45590209960938,232.48455810546875,240.23971557617188
