"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140"
"S0",467.0939407348633,467.7652053833008,468.41061782836914,469.0192451477051,469.57695388793945,470.1121234893799,470.5780258178711,471.01613426208496,471.38449478149414,471.7053565979004,472.0001525878906,472.2527542114258,472.47978019714355,472.6685199737549,472.7786750793457,472.872407913208,472.94105339050293,472.9763240814209,472.99310302734375,472.97764587402344,472.96045303344727,472.91258811950684,472.85529136657715,472.77221488952637,472.6754913330078,472.536584854126,472.3770046234131,472.1925296783447,471.96353912353516,471.6985111236572,471.3798065185547,471.0193634033203,470.61519050598145,470.161434173584,469.6418228149414,469.0681800842285,468.4276008605957,467.7341537475586,466.9813423156738,466.18446350097656,465.3137855529785,464.3949737548828,463.44158935546875,462.4279022216797,461.3575744628906,460.2590789794922,459.1312141418457,457.95891189575195,456.80674743652344,455.59338760375977,454.3324165344238,453.0585403442383,451.7369499206543,450.35166931152344,448.9728660583496,447.55345153808594,446.0326919555664,444.4325370788574,442.7430191040039,441.0831871032715,439.47039794921875,437.7156791687012,435.8728561401367,433.9557571411133,432.0011291503906,429.9768829345703,427.8905563354492,425.763427734375,423.55872344970703,421.39159393310547,419.1614761352539,416.92384338378906,414.72078704833984,412.59813690185547,410.54290771484375,408.46935272216797,406.42852783203125,404.4626159667969,402.5980758666992,400.78406524658203,399.0468292236328,397.3935775756836,395.8083038330078,394.28643798828125,392.9549255371094,391.71085357666016,390.48699951171875,389.4431686401367,388.4720916748047,387.6595764160156,386.90032958984375,386.32030487060547,385.86199951171875,385.5743179321289,385.4448547363281,385.4686584472656,385.6652374267578,386.00345611572266,386.57806396484375,387.3472366333008,388.21935272216797,389.2137985229492,390.40655517578125,391.70945739746094,393.19754791259766,394.7478790283203,396.35543060302734,398.0528869628906,399.79688262939453,401.65122985839844,403.62308502197266,405.61646270751953,407.6756286621094,409.7680358886719,411.85254669189453,414.06261444091797,416.2804260253906,418.5170440673828,420.7790069580078,423.07593536376953,425.4169692993164,427.78665924072266,430.15699005126953,432.473876953125,434.70189666748047,436.991153717041,439.2363510131836,441.35379791259766,443.41114807128906,445.42308044433594,447.30284118652344,449.1380386352539,450.8923454284668,452.5490036010742,454.1067428588867,455.60060119628906,457.02529525756836,458.35614013671875,459.5910339355469,460.7457695007324,461.8690605163574
"S1",446.3998222351074,452.183780670166,462.6464653015137,462.5100975036621,460.2123222351074,462.2338981628418,450.9953727722168,462.55157470703125,459.70899200439453,461.77573013305664,462.55157470703125,464.2059631347656,464.0242156982422,458.19074630737305,463.88416290283203,463.97883224487305,467.04854583740234,467.32496643066406,460.8598327636719,464.34211349487305,466.8216361999512,466.73065185546875,466.1780319213867,469.5734519958496,467.1432189941406,469.2062683105469,469.251651763916,466.63988876342773,466.1741256713867,471.91270446777344,466.73065185546875,468.1954822540283,470.07678413391113,461.7303466796875,469.34241485595703,464.34211349487305,463.6116485595703,464.75467681884766,468.60804748535156,463.2898483276367,459.8905220031738,457.73301696777344,454.1597557067871,450.5747718811035,429.06768798828125,435.8049011230469,426.15563201904297,436.8984184265137,417.53668212890625,419.2779312133789,431.58434295654297,365.74310302734375,313.77256774902344,318.4547576904297,259.0669250488281,303.07862854003906,295.55775451660156,294.9593200683594,270.00318908691406,219.38043212890625,227.2120361328125,255.415283203125,215.47430419921875,184.88998413085938,175.50930786132812,165.80059814453125,156.42410278320312,145.73526000976562,187.13076782226562,125.1363525390625,119.73828125,104.23422241210938,94.01763916015625,84.22628784179688,74.76925659179688,104.9862060546875,89.97335815429688,60.50677490234375,38.4569091796875,41.7174072265625,25.050628662109375,89.45635986328125,69.60321044921875,91.34197998046875,32.81121826171875,105.85128784179688,81.5804443359375,-9.291412353515625,29.836395263671875,69.9967041015625,71.20852661132812,154.23751831054688,109.30426025390625,58.57073974609375,41.09466552734375,80.85781860351562,90.8583984375,127.642822265625,128.1878662109375,170.7562255859375,67.32171630859375,95.7523193359375,152.5987548828125,177.76205444335938,166.70571899414062,200.85250854492188,241.26556396484375,205.71688842773438,241.67202758789062,282.2644348144531,333.88038635253906,350.02410888671875,347.8583526611328,343.82757568359375,352.12451171875,359.64537048339844,367.6285400390625,382.0807342529297,341.1467742919922,374.0285339355469,379.5104446411133,386.64871978759766,380.55814361572266,394.0119323730469,392.0240173339844,410.20125579833984,403.6533889770508,399.3220977783203,403.73242950439453,417.87454986572266,410.74627685546875,420.16451263427734,400.2992248535156,415.02393341064453,430.11973571777344,368.1107940673828,386.95704650878906,431.1719970703125,434.8021469116211,420.11131286621094,438.55693435668945
"S2",404.22342681884766,396.3398971557617,412.9130325317383,417.4148712158203,409.0166549682617,409.4684066772461,408.1454620361328,408.08011627197266,399.813720703125,403.67430877685547,412.70755767822266,413.6781463623047,423.72853088378906,410.0906066894531,418.1990737915039,415.43907928466797,425.0709686279297,421.18289947509766,413.78455352783203,416.63700103759766,417.18900299072266,426.5708770751953,427.13023376464844,432.82520294189453,432.51759338378906,435.95655059814453,434.2532958984375,433.54557037353516,434.71216583251953,435.63417053222656,436.5157051086426,431.27970123291016,435.5248565673828,433.5038833618164,435.5285339355469,429.2429656982422,430.3774108886719,425.1124725341797,427.91526794433594,423.3134002685547,420.950927734375,417.0585479736328,407.7701187133789,397.1986083984375,374.3678741455078,355.6652526855469,349.68174743652344,349.63458251953125,318.5101013183594,286.4444580078125,290.74977111816406,274.16015625,267.80096435546875,261.0240783691406,254.33157348632812,247.37750244140625,239.92022705078125,232.04888916015625,223.73846435546875,215.60696411132812,207.74783325195312,199.145751953125,190.1021728515625,180.75656127929688,171.1597900390625,161.37060546875,151.26422119140625,141.052978515625,130.37594604492188,120.06893920898438,109.44631958007812,98.80612182617188,88.42596435546875,78.43545532226562,68.91009521484375,59.218597412109375,49.74102783203125,40.66375732421875,32.0439453125,23.6654052734375,15.543853759765625,11.2308349609375,27.30438232421875,39.448883056640625,31.007659912109375,34.195098876953125,-16.04266357421875,-27.97930908203125,-12.2088623046875,-14.7347412109375,29.184356689453125,51.76190185546875,47.6990966796875,-18.42620849609375,18.025665283203125,-27.58795166015625,23.3525390625,61.241424560546875,59.30712890625,91.36959838867188,15.330810546875,21.240234375,112.24978637695312,128.5205078125,101.84024047851562,96.56903076171875,104.3077392578125,127.06008911132812,137.96221923828125,195.88754272460938,153.072265625,195.36224365234375,196.6422119140625,208.84466552734375,243.82150268554688,238.77310180664062,271.3442840576172,249.4169921875,253.1216583251953,291.5011291503906,293.17987060546875,298.65794372558594,298.10133361816406,304.31471252441406,259.26171875,319.9447021484375,329.2062530517578,327.8931579589844,330.3808898925781,352.4098358154297,344.0060272216797,362.43125915527344,343.0277099609375,344.0305480957031,332.6964874267578,292.94981384277344,338.34437561035156,362.4073944091797,375.3771209716797,378.7414779663086,370.5953826904297
"S3",459.1894340515137,460.02160263061523,460.81965255737305,461.5731887817383,462.2646369934082,462.92654037475586,463.5030517578125,464.04633712768555,464.50181579589844,464.8997230529785,465.2638130187988,465.57656478881836,465.85645294189453,466.0895080566406,466.2263526916504,466.34152603149414,466.42589569091797,466.46912002563477,466.48908615112305,466.4682159423828,466.4468994140625,466.38702392578125,466.31550216674805,466.21092224121094,466.09041595458984,465.9173774719238,465.719482421875,465.48917388916016,465.20501708984375,464.8755912780762,464.479190826416,464.03166580200195,463.52899169921875,462.9648208618164,462.319393157959,461.6067199707031,460.811222076416,459.9502182006836,459.016056060791,458.02641677856445,456.94458389282227,455.8032569885254,454.6178512573242,453.35986328125,452.0290756225586,450.6623840332031,449.260986328125,447.80352783203125,446.3713798522949,444.86233139038086,443.2953758239746,441.71120834350586,440.0654716491699,438.34378814697266,436.62712478637695,434.86199951171875,432.97074127197266,430.9796371459961,428.8784713745117,426.8132629394531,424.8064651489258,422.62225341796875,420.3305206298828,417.9445495605469,415.51534271240234,412.99544525146484,410.4003143310547,407.752197265625,405.0126953125,402.3152160644531,399.5393600463867,396.7564239501953,394.015380859375,391.37530517578125,388.81555938720703,386.23634338378906,383.6963348388672,381.24710845947266,378.9250030517578,376.6656188964844,374.50415802001953,372.4427185058594,370.46221923828125,368.5694274902344,366.90834045410156,365.35679626464844,363.8343048095703,362.52659606933594,361.3103942871094,360.2920227050781,359.34405517578125,358.61724853515625,358.04632568359375,357.67987060546875,357.51025390625,357.53172302246094,357.7742614746094,358.1876678466797,358.8963928222656,359.84376525878906,360.92372131347656,362.1559295654297,363.6338348388672,365.2528991699219,367.09783935546875,369.02268981933594,371.0162353515625,373.12193298339844,375.28724670410156,377.59188079833984,380.03887939453125,382.51500701904297,385.07017517089844,387.67285919189453,390.26226806640625,393.0093307495117,395.76610565185547,398.5459899902344,401.35819244384766,404.2168960571289,407.1277618408203,410.071533203125,413.02136993408203,415.90232849121094,418.6760559082031,421.5246810913086,424.3179702758789,426.95372772216797,429.5144271850586,432.020263671875,434.3566207885742,436.6428108215332,438.82559967041016,440.88712310791016,442.8275489807129,444.68832778930664,446.4626579284668,448.11950302124023,449.6566162109375,451.09522247314453,452.4929733276367
"S4",433.15808868408203,434.4724655151367,435.7389221191406,436.9195861816406,437.9789695739746,439.00339126586914,439.8786163330078,440.6923408508301,441.3661994934082,441.94285583496094,442.4737892150879,442.91486740112305,443.3163833618164,443.6370506286621,443.7960205078125,443.9271125793457,444.0125427246094,444.02930068969727,444.0117416381836,443.9433250427246,443.85641860961914,443.70972442626953,443.5415916442871,443.32039642333984,443.0606155395508,442.7111358642578,442.3052291870117,441.85344314575195,441.2939872741699,440.6571807861328,439.90533447265625,439.05535888671875,438.1131362915039,437.0649757385254,435.8729476928711,434.56219482421875,433.11539459228516,431.55188751220703,429.86368560791016,428.08959197998047,426.16817474365234,424.14852142333984,422.06749725341797,419.85621643066406,417.5463180541992,415.18898010253906,412.76719665527344,410.2563934326172,407.7900390625,405.20484924316406,402.5069808959961,399.77906036376953,396.9587631225586,393.97379302978516,391.0134506225586,387.94647216796875,384.65509033203125,381.1840591430664,377.5178680419922,373.92369842529297,370.4425354003906,366.64512634277344,362.65870666503906,358.53309631347656,354.3177490234375,349.99461364746094,345.54515075683594,341.04051208496094,336.35975646972656,331.81585693359375,327.1458282470703,322.47430419921875,317.9095764160156,313.5251922607422,309.3241729736328,305.0730895996094,300.9083709716797,296.91650390625,293.138427734375,289.4674377441406,285.93482971191406,282.62042236328125,279.471435546875,276.39434814453125,273.7713928222656,271.33251953125,268.91783142089844,266.9319152832031,265.11737060546875,263.6337585449219,262.2725067138672,261.2924499511719,260.5857849121094,260.2628173828125,260.2880401611328,260.64573669433594,261.3383026123047,262.3611602783203,263.85888671875,265.7570343017578,267.842041015625,270.1683044433594,272.90419006347656,275.81837463378906,279.1144104003906,282.5093078613281,286.03228759765625,289.7116241455078,293.48162841796875,297.453857421875,301.6749572753906,305.93678283691406,310.3348846435547,314.78273010253906,319.2398681640625,323.9321594238281,328.6255187988281,333.3658447265625,338.13848876953125,342.9615020751953,347.8712158203125,352.8182373046875,357.7276153564453,362.5162811279297,367.09361267089844,371.79315185546875,376.36165618896484,380.6636657714844,384.8256378173828,388.86441802978516,392.65465545654297,396.31824493408203,399.8231658935547,403.12410736083984,406.2284927368164,409.20409393310547,412.0474853515625,414.6900863647461,417.1564636230469,419.46326446533203,421.72034454345703
"S5",329.9551544189453,333.383544921875,336.7034606933594,339.82135009765625,342.63401794433594,345.377197265625,347.7408752441406,349.95941162109375,351.8161926269531,353.4365692138672,354.9292907714844,356.1904602050781,357.34600830078125,358.28887939453125,358.8152313232422,359.2516632080078,359.57029724121094,359.7052764892578,359.74742126464844,359.67066955566406,359.5401916503906,359.2635498046875,358.93809509277344,358.4834289550781,357.9434814453125,357.19529724121094,356.31846618652344,355.3430633544922,354.1181945800781,352.7167053222656,351.0408020019531,349.135986328125,347.01397705078125,344.6421813964844,341.92579650878906,338.91246032714844,335.57196044921875,331.9340057373047,327.9888458251953,330.270263671875,322.81463623046875,318.2517852783203,309.46246337890625,304.1434631347656,298.54872131347656,292.8026428222656,286.88262939453125,280.7152557373047,274.6387023925781,268.27159118652344,261.6316375732422,254.91262817382812,247.97259521484375,240.64215087890625,233.37362670898438,225.87060546875,217.84060668945312,209.3714599609375,200.44320678710938,191.69223022460938,183.21713256835938,173.94070434570312,164.19091796875,154.05877685546875,143.6708984375,132.97573852539062,121.91366577148438,148.41128540039062,98.90869140625,87.4302978515625,178.70553588867188,97.09768676757812,149.3531494140625,138.64068603515625,150.21084594726562,147.2166748046875,154.32315063476562,141.19125366210938,-12.59320068359375,171.96844482421875,144.93115234375,111.187744140625,185.13290405273438,111.03271484375,130.38580322265625,118.37387084960938,122.52703857421875,110.24557495117188,120.55648803710938,116.24932861328125,114.47601318359375,155.28695678710938,122.4632568359375,152.06314086914062,25.03765869140625,136.77896118164062,137.75668334960938,172.72802734375,161.5628662109375,175.2843017578125,145.49508666992188,160.02963256835938,150.6688232421875,140.45709228515625,168.24368286132812,158.44143676757812,147.92739868164062,177.7821044921875,133.84246826171875,174.85940551757812,136.05224609375,130.369873046875,136.43896484375,123.29537963867188,126.68878173828125,152.31820678710938,64.15460205078125,174.86102294921875,161.0848388671875,134.748779296875,156.4830322265625,125.27487182617188,151.17483520507812,146.46441650390625,151.38717651367188,177.46218872070312,184.8990478515625,202.01040649414062,197.6636962890625,208.324951171875,218.35595703125,228.09060668945312,237.41452026367188,246.2110137939453,254.5209503173828,262.47412109375,270.0796661376953,277.1159210205078,283.6907653808594,289.83154296875,295.817626953125
"S6",262.0122985839844,266.91314697265625,276.7570495605469,276.2250213623047,280.3185119628906,284.35791015625,307.4254455566406,295.2866516113281,293.99485778808594,296.4821472167969,298.79505920410156,300.7718963623047,320.6322479248047,336.9359130859375,305.58226013183594,349.2597961425781,333.7376251220703,306.78916931152344,349.9661102294922,331.6773986816406,339.56214904785156,347.03965759277344,335.2401428222656,337.5796661376953,354.83949279785156,343.1004333496094,348.686279296875,346.5503234863281,329.2996063232422,342.1510925292969,348.13230895996094,341.380615234375,341.5419006347656,359.92649841308594,351.52516174316406,357.641845703125,361.78814697265625,354.01133728027344,351.4194030761719,350.95330810546875,358.85853576660156,355.50244140625,321.08055114746094,247.73641967773438,291.4571990966797,288.657470703125,226.81195068359375,273.1464538574219,198.099853515625,189.5316162109375,244.2545166015625,171.53176879882812,162.21148681640625,152.35202026367188,185.74160766601562,132.56192016601562,228.044677734375,189.92214965820312,192.18630981445312,175.26913452148438,75.84677124023438,160.19046020507812,179.02218627929688,223.24563598632812,167.9295654296875,197.52664184570312,212.88082885742188,193.21197509765625,96.14547729492188,180.32113647460938,210.58779907226562,183.97421264648438,215.54437255859375,192.91079711914062,203.39230346679688,168.8974609375,220.8499755859375,198.28594970703125,187.56793212890625,209.35797119140625,208.59872436523438,171.36886596679688,159.04278564453125,136.58807373046875,205.90420532226562,200.05422973632812,182.42645263671875,168.06488037109375,174.3756103515625,100.53201293945312,201.31524658203125,220.03277587890625,211.59912109375,205.02523803710938,190.9410400390625,185.63967895507812,213.85165405273438,170.977294921875,199.65383911132812,199.40408325195312,181.31390380859375,213.8089599609375,188.59432983398438,214.87557983398438,176.02822875976562,201.775390625,145.44711303710938,170.45947265625,146.00949096679688,177.75833129882812,181.50054931640625,97.85235595703125,105.7415771484375,183.93365478515625,173.75946044921875,184.83343505859375,166.64028930664062,184.45135498046875,159.23956298828125,70.9822998046875,162.97442626953125,110.84878540039062,121.58737182617188,134.775146484375,114.75289916992188,123.36318969726562,143.7869873046875,90.14395141601562,68.77557373046875,172.06497192382812,172.7213134765625,134.9227294921875,163.99349975585938,154.75094604492188,167.06033325195312,162.28802490234375,173.34396362304688,183.55242919921875,216.3902587890625,202.00717163085938,210.67135620117188
"S7",393.5717086791992,395.78565216064453,397.9125213623047,399.9378662109375,401.81044006347656,403.6117172241211,405.195556640625,406.70384979248047,407.97900390625,409.1149368286133,410.15254974365234,411.05892181396484,411.8725891113281,412.5630340576172,413.0048141479492,413.3751907348633,413.66361236572266,413.8399963378906,413.9501190185547,413.9540481567383,413.95726013183594,413.8601303100586,413.73406982421875,413.52103424072266,413.2755432128906,412.9032745361328,412.47698974609375,411.97083282470703,411.34317779541016,410.6076126098633,409.70801544189453,408.6902160644531,407.53736114501953,406.23673248291016,404.74000549316406,403.07308197021484,401.202880859375,399.1645965576172,396.94425201416016,394.5728073120117,391.9596710205078,389.1868667602539,386.2836608886719,383.19849395751953,379.902587890625,376.49178314208984,372.9872131347656,369.3212127685547,365.704833984375,361.8895568847656,357.93287658691406,353.9246368408203,349.7561492919922,345.4155578613281,341.0775451660156,336.64013671875,331.90203857421875,326.9161071777344,321.6712646484375,316.5148162841797,311.5033264160156,306.03973388671875,300.31141662597656,294.322509765625,288.2196807861328,281.85467529296875,275.2777404785156,268.52735900878906,261.5338439941406,254.58795166015625,247.40464782714844,253.28240966796875,233.02011108398438,226.08468627929688,219.31246948242188,212.47613525390625,241.04696655273438,217.22213745117188,266.94432067871094,238.9796142578125,180.95147705078125,234.12408447265625,238.92474365234375,234.9886474609375,216.15087890625,235.08041381835938,248.6136932373047,239.74136352539062,236.26791381835938,248.7696533203125,221.86956787109375,236.88485717773438,235.72756958007812,213.22372436523438,218.85025024414062,227.25482177734375,237.75958251953125,192.26681518554688,241.77438354492188,215.43276977539062,205.20159912109375,236.33273315429688,195.51022338867188,176.70913696289062,206.60052490234375,257.02940368652344,223.88473510742188,165.52871704101562,183.06723022460938,176.5693359375,182.66360473632812,188.86138916015625,195.26016235351562,206.6702880859375,208.36801147460938,215.32427978515625,222.31585693359375,229.39007568359375,236.56661987304688,243.91259765625,251.40750122070312,259.00257873535156,266.6808166503906,274.1990509033203,281.485107421875,289.0108337402344,296.4141540527344,303.45350646972656,310.32261657714844,317.0781707763672,323.3804931640625,329.5914611816406,335.5245666503906,341.1430969238281,346.4613800048828,351.5579833984375,356.42236328125,360.9510040283203,365.15675354003906,369.09312438964844,372.89855194091797
"S8",425.17100524902344,426.63829803466797,428.0616683959961,429.3839797973633,430.56165313720703,431.71134185791016,432.6895751953125,433.59484100341797,434.3474578857422,434.98819732666016,435.58336639404297,436.07307052612305,436.5255584716797,436.8835639953613,437.05519104003906,437.19906997680664,437.2924003601074,437.3066215515137,437.28380584716797,437.2130355834961,437.11025619506836,436.9438133239746,436.75320053100586,436.50711822509766,436.21278381347656,435.8199462890625,435.3585662841797,434.854736328125,434.22338104248047,433.5085678100586,432.66664123535156,431.7110290527344,430.6562728881836,429.4837951660156,428.1483154296875,426.6783142089844,425.05792236328125,423.3034210205078,421.4077682495117,419.41851806640625,417.2670593261719,415.00331115722656,412.67491912841797,410.1911849975586,407.607666015625,404.9734344482422,402.2584915161133,399.44466400146484,396.67765045166016,393.78440856933594,390.7576599121094,387.69956970214844,384.5493469238281,381.1965789794922,377.88509368896484,374.4446487426758,370.7540283203125,366.8628845214844,362.75115966796875,358.7260437011719,354.8316345214844,350.57867431640625,346.10594177246094,341.48463439941406,336.74363708496094,331.9033203125,326.90965270996094,321.86399841308594,316.5936584472656,311.5016326904297,306.2613830566406,301.01092529296875,295.886962890625,290.9585723876953,286.2554626464844,281.4764099121094,276.8018035888672,272.32855224609375,268.08631896972656,263.9641571044922,259.9784698486328,256.2658386230469,252.75433349609375,249.27227783203125,246.33155822753906,243.59231567382812,240.85952758789062,238.64303588867188,236.61874389648438,234.95492553710938,233.41619873046875,232.30081176757812,231.48541259765625,231.120361328125,231.14898681640625,231.55130004882812,232.30087280273438,233.45050048828125,235.12539672851562,237.25955200195312,239.58892822265625,242.19012451171875,245.260986328125,248.509521484375,252.20652770996094,256.0029602050781,259.9621276855469,264.0870819091797,268.31114196777344,272.7534637451172,277.4905090332031,282.26844787597656,287.20794677734375,292.18505859375,297.19287109375,302.45347595214844,307.7120361328125,313.0332946777344,318.38551330566406,323.78717041015625,329.2986145019531,334.8583526611328,340.35813903808594,345.73255920410156,350.8584747314453,356.13539123535156,361.25726318359375,366.08445739746094,370.7552185058594,375.2769241333008,379.5444564819336,383.64583587646484,387.58011627197266,391.2836608886719,394.76527404785156,398.1006317138672,401.29137420654297,404.2500457763672,407.0181427001953,409.6022262573242,412.13748931884766
"S9",339.00172424316406,342.14512634277344,345.19183349609375,348.0226745605469,350.5349426269531,352.9933319091797,355.07879638671875,357.0125427246094,358.6113586425781,359.97833251953125,361.242431640625,362.28009033203125,363.24029541015625,363.9957275390625,364.3528747558594,364.6427307128906,364.8288116455078,364.8423767089844,364.7755432128906,364.6160583496094,364.38201904296875,364.0123291015625,363.5907897949219,363.0461730957031,362.39764404296875,361.5392303466797,360.5301818847656,359.4317321777344,358.05934143066406,356.50750732421875,354.6811828613281,352.609130859375,350.3220672607422,347.7836456298828,344.8951416015625,345.5444030761719,338.2090759277344,334.41180419921875,330.31285095214844,326.00848388671875,321.3531799316406,320.91485595703125,311.4094543457031,306.03599548339844,300.44122314453125,294.7310028076172,288.8483581542969,282.7428283691406,276.7357177734375,270.4601745605469,263.8944396972656,257.25157165527344,250.4070281982422,243.121826171875,235.91989135742188,228.44180297851562,220.42205810546875,211.9552001953125,203.01803588867188,194.27072143554688,185.81533813476562,176.56033325195312,166.83523559570312,156.78085327148438,146.46560668945312,135.93276977539062,125.0640869140625,114.07733154296875,102.60287475585938,91.51397705078125,80.0869140625,68.64620971679688,57.4820556640625,46.73992919921875,36.488433837890625,26.06732177734375,15.872589111328125,6.10302734375,-3.1708984375,-12.1859130859375,-14.02398681640625,-29.0439453125,-36.74163818359375,-44.38458251953125,-50.83905029296875,-56.856689453125,-62.86077880859375,-67.771728515625,-70.72296142578125,-44.6473388671875,-57.29840087890625,-54.85772705078125,-62.0673828125,-84.65948486328125,-22.69732666015625,-66.11395263671875,-82.3814697265625,-79.96490478515625,-76.4071044921875,-71.8673095703125,-66.8807373046875,-61.29888916015625,-50.4007568359375,-47.68377685546875,-39.71563720703125,-31.5274658203125,-22.970947265625,-14.07196044921875,-4.942626953125,4.665985107421875,14.9068603515625,25.253814697265625,35.939361572265625,46.73779296875,57.60931396484375,69.0225830078125,80.42544555664062,91.98468017578125,103.60845947265625,115.35885620117188,127.3453369140625,139.41900634765625,151.3834228515625,163.07022094726562,174.22872924804688,185.73287963867188,196.87478637695312,207.4014892578125,217.58554077148438,227.43951416015625,236.7374267578125,245.6802520751953,254.2518768310547,262.31919860839844,269.9237976074219,277.2039489746094,284.17298889160156,290.6123046875,296.6491241455078,302.2884216308594,307.8170928955078
